question_id,category,question_summary,repository_verifiable,status,confidence,primary_finding,decision_impact,recommended_decision,evidence_files,remaining_input
Q42,H-DevOps,Production X-Forwarded-For handling,TRUE,answered,CONFIRMED,"The application trusts XFF blindly. collectIpAddresses() (library/sanitize.inc.php:29-46) appends the ENTIRE client-supplied chain, unparsed, to ip_string; there is no trusted-proxy allowlist anywhere (0 matches). The value reaches the log table (LogTablesSink.php:70) and auth-failure comments (EventAuditLogger.php:265-266). Mitigation: the real socket peer is preserved separately in the 'ip' key.","This is a code-level audit-log forging vector, not merely a deployment posture question as originally framed. It must be fixed in code or neutralised at the proxy before Go-Live.",Strip inbound XFF at the edge and re-add exactly one hop from our own LB; additionally parse to the rightmost entry in code. Treat existing forward_ip values as untrusted.,library/sanitize.inc.php; src/Common/Logging/Audit/LogTablesSink.php; 15-security-compliance-code-evidence.md; 11-authentication-authorization-evidence.md,
Q43,I-Security,Rotate exposed GitHub PATs,TRUE,answered,CONFIRMED,"SCOPE IS LARGER THAN RECORDED: 4 compose files x 3 variables = 12 hardcoded token values, not 2 in one file. Locations: development-easy:75-77, development-easy-light:75-77, development-easy-redis:180-182, development-insane:224-226. Three obfuscation layers are used for the same secret class (raw, base64, space-separated decimal char codes), all decoded inline by docker/flex/openemr.sh:766-790. All values REDACTED and never written to any artifact.","Naive ghp_-prefix scanners miss two of the three variants, which is why only one file was previously found. Critically, these are UPSTREAM's committed tokens - the fork has zero own commits - so rotation is upstream's action; the fork's duty is containment.","Treat as burned. Report upstream. Ensure they never reach a published image or public fork. Add a secret scanner that detects base64 and decimal-encoded token variants, not just ghp_.",docker/development-easy-redis/docker-compose.yml; docker/development-easy/docker-compose.yml; docker/flex/openemr.sh; 15-security-compliance-code-evidence.md,
Q44,I-Security,Per-tenant KMS key isolation Day-1?,TRUE,answered,HIGH,"No KMS SDK exists in composer.json. Keys are per-site files on disk: $OE_SITE_DIR/documents/certificates/oa{private,public}.key (OAuth2KeyConfig.php:63-64) and sites/<site>/documents/logs_and_misc/methods/.","DB-per-tenant ALREADY delivers per-tenant key isolation by construction. A KMS adds rotation, escrow and HSM custody - not isolation. This materially shrinks Day-1 scope.",Day-1: keep per-site key files (isolation already achieved); add a KMS-backed wrapper for CUSTODY and rotation of the site key material. Do not rebuild encryption.,composer.json; src/Common/Auth/OAuth2KeyConfig.php; 15-security-compliance-code-evidence.md; 16-control-plane-constraints.md,
Q45,I-Security,Saudi PDPL data-residency plan,FALSE,external_decision_required,EVIDENCE-BLOCKED,"No repository evidence can answer this. The repo constrains only that each tenant is a separate database and separate filesystem tree, which makes per-region placement mechanically straightforward.","Residency drives cloud provider, region, backup destinations and observability endpoints - all outside the codebase. Model A makes per-region tenant placement easy, which is the one relevant repository fact.","Provisional: Kingdom-only region. Confirm with legal before Go-Live. Safe default: assume no cross-border transfer, including for backups, logs and metrics.",interface/globals.php; 16-control-plane-constraints.md,Legal: approved regions + cross-border transfer position for backups/telemetry.
Q46,I-Security,Breakglass justification-prompt UI,TRUE,answered,CONFIRMED,gbl_force_log_breakglass exists at library/globals.inc.php:2851-2856 with default '1' (ON). It LOGS emergency user activity; no justification-prompt UI exists anywhere.,Premise confirmed exactly: logging without a reason prompt. Auditors typically expect the reason. Build cost is small and it is additive (no core behaviour change).,"Build the justification prompt as a module/overlay rather than a core patch, so it survives rebases.",library/globals.inc.php; 15-security-compliance-code-evidence.md,
Q47,I-Security,Default value of drive_encryption for Saudi tenants,TRUE,contradicted,CONFIRMED,"PREMISE CORRECTED: drive_encryption ALREADY DEFAULTS TO ON ('1') at library/globals.inc.php:1035-1040. The prior audit recorded this as unverified. database_encryption likewise defaults to '1' (:1028-1032), consumed at Crypto.php:65 and CryptoGen.php:82. The deprecated couchdb_encryption global (:1043-1048) is an explicit no-op.",No patch is required - only a provisioning guarantee that tenants never turn it off. Converts a code change into a configuration assertion.,Force on via provisioning defaults and assert it in a tenant health check. No core patch needed.,library/globals.inc.php; src/Common/Crypto/CryptoGen.php; 15-security-compliance-code-evidence.md,
Q48,I-Security,Audit-log retention (PDPL 5+ years),TRUE,answered,CONFIRMED,"No retention policy, pruner or archival job exists for log / api_log. The seeded background_services rows (sql/database.sql:209-217) contain no log-maintenance service. Tables grow without bound.","Both a compliance floor and a cost ceiling are unmet. The background_services mechanism is the natural, already-supported place to add a pruner without a core patch.",Build a retention job as a background_service (no core patch). Default 7 years pending the legal answer on the binding floor.,sql/database.sql; 15-security-compliance-code-evidence.md,Legal: minimum retention for audit logs and health records.
Q49,I-Security,AV scanning for uploads (ClamAV),TRUE,answered,CONFIRMED,"Zero antivirus integration exists (0 matches for clamav/virus_scan/antivirus). The only content gate is isWhiteFile() (library/sanitize.inc.php:113), called from just 2 sites (C_Document.class.php:243, DocumentService.php:130), BOTH gated behind the operator-disableable secure_upload global (default '1' ON, globals.inc.php:2125-2130). createDocument( has 26 call sites but only 2 consult the allow-list. No magic-byte MIME validation on the gate, no quarantine, no size limit beyond php.ini.","Extension allow-listing alone is the weakest standard control, it is switchable off, and its coverage across document-creation paths is unverified. For a healthcare SaaS accepting patient/lab/scan uploads this is a material gap.",Required Day-1: AV sidecar plus magic-byte validation. Pin secure_upload=1 in provisioning. Audit all 26 createDocument callers and resolve the :154/:243 ordering question.,controllers/C_Document.class.php; library/globals.inc.php; library/sanitize.inc.php; 15-security-compliance-code-evidence.md,
Q50,I-Security,Add .github/SECURITY.md and .github/dependabot.yml,TRUE,contradicted,CONFIRMED,"DECISION CONTRADICTED: BOTH FILES ALREADY EXIST. .github/SECURITY.md ships (two disclosure routes: GitHub private advisory and security@open-emr.org with a PGP key), .github/dependabot.yml ships with a full weekly composer configuration (grouped symfony/laminas/development updates, PR limit 15), plus a bonus dependabot-auto-merge.yml workflow.","The task as written is already done. The REAL remaining action is different: SECURITY.md directs reporters to the OpenEMR security team, which is wrong for a fork holding Saudi tenant PHI and must be rewritten.","Close the original item as already satisfied. Open a NEW item: rewrite SECURITY.md for the fork's own disclosure channel, and decide whether Dependabot stays enabled given the Q2 rebase cadence.",.github/SECURITY.md; .github/dependabot.yml; .github/workflows/dependabot-auto-merge.yml; 15-security-compliance-code-evidence.md,
Q51,J-Testing,Current numeric coverage % baseline,TRUE,answered,CONFIRMED,"Retrieved LIVE during this audit run from the official Codecov v2 API (https://api.codecov.io/api/v2/github/openemr/repos/openemr/, updatestamp 2026-08-07T06:02:21Z): coverage 28.66%, files 4028, lines 428660, hits 122880, misses 305780, branch master. The prior run measured 27.53% on 2026-07-21 (+1.13 pp in ~17 days). This measures UPSTREAM openemr/openemr; the fork is not onboarded to Codecov, but since fork HEAD is a strict ancestor of upstream master the number is representative.","The real baseline is ~29%, not the ~4% historical figure cited in codecov.yml:24. A 60% total-coverage target would be a large uplift; an 80% patch-coverage target on new code is achievable and standard.","Set our-module targets at 80% patch / 60% total. Distinguish clearly: online aggregate 28.66% (upstream), configured target in codecov.yml, and our new-code target.",codecov.yml; evidence/raw/q51-codecov-api-response.txt; q51-codecov-api-response.txt; 09-test-and-ci-inventory.md,
Q52,J-Testing,CI DB strategy: fresh-per-job or persistent?,TRUE,answered,CONFIRMED,"TWO divergent patterns coexist. integration-tests.yml uses GitHub-native services: containers - genuinely fresh MySQL/MariaDB per matrix arm. test.yml (used by test-all.yml and test-scheduled.yml) uses compose-stack DBs: a setup job installs OpenEMR, dumps the DB, and each parallel test job RESTORES that snapshot. So: fresh container per arm, same snapshot restored across suites within an arm.","Because a snapshot is restored rather than rebuilt, cross-suite interdependency bugs are possible within an arm. Our own suites should not inherit that pattern.",Fresh-per-job for our module suites; leave upstream suites as-is to avoid a fork patch.,.github/workflows/integration-tests.yml; .github/workflows/test.yml; 09-test-and-ci-inventory.md,
Q53,J-Testing,Panther local ChromeDriver fallback on Windows,TRUE,answered,CONFIRMED,"symfony/panther ^2.0 (composer.json:159). CI uses a SHA-pinned Selenium standalone-chromium at ci/compose-shared-selenium/docker-compose.yml:2-3, reached at http://selenium:4444/wd/hub (BaseTrait.php:26,37,72). A local-ChromeDriver fallback exists at BaseTrait.php:79 (static::createPantherClient() when SELENIUM_USE_GRID != true) but is exercised by NO workflow. Environment note: this audit machine cannot run Docker at all (GCE VM without nested virtualization), so container-based E2E is unavailable here regardless.","The fallback is untested by CI, so relying on it is unsupported. On hosts without Docker the E2E suite simply cannot run - a real constraint for this team's current hardware.",Mandate dev-in-container for E2E and document it. Do not invest in the Windows fallback. Note the hardware constraint explicitly in onboarding docs.,ci/compose-shared-selenium/docker-compose.yml; composer.json; tests/Tests/E2e/Base/BaseTrait.php; 09-test-and-ci-inventory.md,
Q54,K-Misc,Review tools/ directory,TRUE,answered,CONFIRMED,"19 tracked files, fully enumerated. 18 are the upstream release-automation toolkit under tools/release/ (bin/ CLI entrypoints: branch-to-version, create-tag, derive-prev-release, dispatch, render-pr-body, verify-tag; src/ supporting classes; one JSON contract schema). The 19th is tools/ci/analyze-flaky-tests.sh. No secrets, no dead scripts, no developer footguns.","The [BUILD/TOOLING] classification was accurate. This tree is upstream release machinery the fork does not need to own, but it is also harmless to carry.","Accept the classification and move on. If the fork publishes its own releases (Q39), tools/release/ becomes directly reusable.",evidence/manifests/q54-tools-inventory.txt; q54-tools-inventory.txt,
Q55,K-Misc,wkhtmltopdf-openemr and oe-module-cqm transitive owners,TRUE,answered,CONFIRMED,"Verified against a populated vendor/ tree (unavailable to the prior audit): NEITHER package appears in vendor/composer/installed.json (247 packages installed). Both are declared only as VCS repositories (composer.json:161-165 and :166-169), are not in require, and are not in composer.lock. They are DEAD entries.",Removing them is safe and removes two rebase-conflict surfaces. Confirmed empirically rather than inferred.,"Safe to remove - but note this would be a fork patch to composer.json. Given the zero-patch record (Q1), prefer an upstream PR or simply leave them (they cost nothing at runtime).",composer.json; vendor/composer/installed.json; 08-dependency-runtime-inventory.csv,
Q56,K-Misc,React 15 via napa - who consumes it?,TRUE,partially_answered,MEDIUM,Consumer-graph tracing (evidence/snippets/q56-react15-consumer-graph.md) found the declaration and the napa download path but no confirmed runtime consumer in first-party code. Classification remains 'uncertain' rather than 'dead' because removal has not been proven not to change generated assets.,"React 15 is 9+ years out of support. If genuinely unused it is pure CVE surface that can be deleted; the remaining step is a build-output diff, not more grepping.",Run the decisive test: build with and without the napa React entry and diff public/ output. Remove only if byte-identical. Do NOT declare it dead on grep evidence alone.,evidence/snippets/q56-react15-consumer-graph.md; package.json; q56-react15-consumer-graph.md,
Q57,K-Misc,documents.id / insurance_companies.id without auto_increment,TRUE,answered,CONFIRMED,"TWO DIFFERENT ANSWERS. documents.id: deliberate-by-inertia; every writer allocates via QueryUtils::generateId() against the global sequences table (UPDATE sequences SET id=LAST_INSERT_ID(id+1), atomic on InnoDB). Conversion is technically safe (zero INSERT ... VALUES (0,...) sites). insurance_companies.id: deliberate AND LOAD-BEARING - documented at InsuranceCompanyService.php:433-436 as sharing an id-space with pharmacies via the addresses satellite table, whose foreign_id is a bare int with no type discriminator. Converting it in isolation would silently corrupt address lookups.",The two tables must not be treated as one anomaly. More importantly it yields a hard rule for new tables: never share an id-space across tables.,"Leave BOTH alone; document as known anomalies. For new saas_* tables: bigint AUTO_INCREMENT PK + uuid binary(16) NOT NULL UNIQUE; never share id-spaces; use (source_table, source_id) tuples for cross-table refs.",src/BC/Database.php; src/Common/ORDataObject/ORDataObject.php; src/Services/InsuranceCompanyService.php; 10-database-and-tenancy-evidence.md,
Q58,K-Misc,Formal upstream policy on custom_ prefix,TRUE,answered,CONFIRMED,"NOT RESERVED. Zero baseline tables, zero upgrade-file operations, zero module SQL and zero documentation use the custom_ prefix. Shipped modules use vendor-slug prefixes (weno_*, comlink_telehealth_*) or bare descriptive names. Reservation is de facto, never de jure. Separately, 'custom' already means 'third-party module directory' in interface/modules/custom_modules/ - a semantic collision.",Relying on an unwritten reservation is a silent-collision risk at rebase time. A distinct prefix removes the risk without needing upstream cooperation.,Use saas_<domain>_ (not custom_). Add a rebase check: git diff <prev>..upstream/master -- sql/ | grep saas_ must stay empty. Open a docs PR upstream requesting reservation but do not block on it.,evidence/snippets/q68-custom-prefix-evidence.md; sql/database.sql; 10-database-and-tenancy-evidence.md,
Q59,K-Misc,sites/<tenant>/documents/theme/ per-site theme override path,TRUE,contradicted,CONFIRMED,"PREMISE REFUTED: sites/<tenant>/documents/theme/ has NO runtime behaviour whatsoever - 0 matches across **/*.php, **/*.twig and **/*.js. The string exists only in prior discovery documents. The actual per-tenant surface is: logos via LogoService (src/Services/LogoService.php:75-108) reading sites/<site>/images/logos/<type>/logo.*, legacy per-site images under OE_SITE_WEBROOT/images/, a per-site custom menu JSON, and sites/<site>/config.php (arbitrary PHP, interface/globals.php:649). NO per-site .css or .js is included at runtime anywhere.",Q34's per-tenant palette cannot be delivered as a per-tenant CSS file - the mechanism does not exist. It must be design tokens/CSS variables over a shared immutable bundle.,Unblock Q34 with: shared immutable CSS bundle + CSS-variable design tokens + per-site logos via LogoService. Never allow tenant-supplied CSS/JS (it would be an XSS and cross-tenant leakage vector).,interface/globals.php; src/Services/LogoService.php; 14-frontend-ui-evidence.md,
Q60,K-Misc,DB DEFAULT CHARSET / COLLATION at CREATE TABLE level,TRUE,partially_answered,MEDIUM,"Charset/collation evidence collected into evidence/manifests/q60-charset-collation.txt (per-table DEFAULT CHARSET occurrence counts in sql/database.sql plus the Installer's utf8mb4/COLLATE handling). The risk is real: if production MySQL has a different server default, Arabic sort order and case-folding change silently.",For an Arabic deployment collation is not cosmetic - it changes sorting and comparison of patient names. Pinning it explicitly is cheap insurance.,Pin utf8mb4_unicode_ci explicitly in provisioning and in all saas_* DDL. Verify empirically on a provisioned tenant with an Arabic sort test before Go-Live.,evidence/manifests/q60-charset-collation.txt; q60-charset-collation.txt,
Q61,K-Misc,DWV DICOM viewer locale JSON,TRUE,answered,CONFIRMED,"DWV 0.27.1 ships NINE locales - de, en, es, fr, it, jp, ro, ru, zh - and NO Arabic (no ar, ar-SA or ar_SA anywhere). Verified by fetching and inspecting the npm registry tarball, not by inference. Per-locale key counts are in evidence/manifests/dwv-locales.csv. An Arabic overlay needs 114 translation leaves plus 3 overlay leaves.",Bounded and precisely sized: 117 strings. DICOM controls would otherwise stay English inside an Arabic UI.,"Author ar/translation.json (114 leaves) + ar/overlays.json (3) as a fork-local overlay under public/assets/dwv/locales/ar/, and contribute upstream to ivmartel/dwv.",evidence/manifests/dwv-locales.csv; evidence/raw/dwv-0.27.1.tgz; 13-localization-arabic-evidence.md; dwv-locales.csv,
Q62,K-Misc,Full FHIR SearchParameter enumeration,TRUE,partially_answered,HIGH,"Structural census complete: 103 FHIR service files (evidence/manifests/q62-fhir-service-files.txt) containing 491 FhirSearchParameterDefinition registrations, alongside 90 REST controllers. The per-resource catalogue itself was not generated.","The catalogue is now a mechanical extraction from 491 known registration sites rather than an open-ended research task - roughly a day, as originally estimated.",Build the static catalogue when NPHIES conformance testing starts (Q28). Generate it from the 491 sites so it stays diffable across rebases.,evidence/manifests/q62-fhir-service-files.txt; evidence/raw/count-search_params.txt; q62-fhir-service-files.txt,
Q63,K-Misc,Numeric API versioning strategy,TRUE,answered,CONFIRMED,There is NO numeric version segment: zero /v1/ matches across REST controllers and the route map. Versioning today is implicit in the pinned US Core route-map filename.,"Introducing /v1/ retroactively means router changes plus a client migration window. Since NPHIES clients are not yet built, the cheapest moment to introduce versioning is at the first NPHIES endpoint - for new routes only.","Freeze the existing surface unversioned. Introduce /v1/ ONLY on new NPHIES/SaaS routes, so no existing client migration is ever required.",evidence/raw/count-api_version_seg.txt; 12-fhir-nphies-billing-evidence.md,
Q64,K-Misc,Application-tier rate limiting,TRUE,answered,CONFIRMED,"NO inbound rate limiting exists. All 17 'rate limit' matches are unrelated: PHPStan baselines, the fax module's OUTBOUND throttle to respect a vendor's limits (RCFaxClient.php:45,106,948,1063), GitHub API rate-limit messages in a release CLI, and a telemetry caching comment.",Per-OAuth-client fairness cannot be enforced at a proxy that cannot see the client_id. That is the specific gap proxy-only leaves.,"Proxy-only Day-1 for volumetric abuse. Add an app-tier per-client limiter when partner integrations go live, since only the app knows the OAuth client identity.",evidence/raw/count-rate_limit.txt; interface/modules/custom_modules/oe-module-faxsms/src/Controller/RCFaxClient.php; 12-fhir-nphies-billing-evidence.md,
Q65,K-Misc,BillingProcessor hookable extension points,TRUE,answered,CONFIRMED,"Well-factored INTERNAL OOP hierarchy (ProcessingTaskInterface -> GeneratorInterface; AbstractProcessingTask -> AbstractGenerator) but ZERO external-module extension surface. Task selection is a hard-coded if/elseif ladder keyed on $_POST['bn_*'] at BillingProcessor.php:161-192 - no factory, registry, service-locator or event dispatch anywhere in src/Billing/. GeneratorExternal is a legacy include of custom/BillingExport.php (file not shipped; only a rename-me stub), NOT a supported module mechanism. No transaction boundary and no idempotency key: GeneratorX12.php:151,168 auto-commit per row.",A NPHIES module CANNOT register a billing generator without patching core. It also answers the outbox question: there is no transaction boundary to hang one on.,"Upstream PR converting the if/elseif ladder into a POST-key->factory registry plus one pre-dispatch event - confined to BillingProcessor.php, so it is a clean, reviewable upstream change. Until it lands, use polling (Q27 Option C).",src/Billing/BillingProcessor/BillingProcessor.php; src/Billing/BillingProcessor/GeneratorInterface.php; src/Billing/BillingProcessor/Tasks/GeneratorX12.php; 12-fhir-nphies-billing-evidence.md; q65-billing-call-graph.md,
Q66,K-Misc,claimrev-connect FHIR emission,TRUE,answered,HIGH,"Analysed from the actually-installed v2.1.6 source (134 files). Reuse matrix recorded in evidence/snippets/q66-claimrev-reuse-matrix.csv, classifying each component as direct_reuse / pattern_reuse_only / not_reusable, and distinguishing genuine FHIR R4 resources from generic 'claim' vocabulary, X12 claims, UI labels and plain REST transport.","Determines whether NPHIES can crib implementation or only architecture. The transferable asset is the polling/reconciliation PATTERN (which Q27 Option C adopts), not X12-specific code.",Reuse the background-polling and state-reconciliation pattern; do not attempt to reuse X12 transport code for NPHIES FHIR.,evidence/snippets/oe-module-claimrev-connect-source-inventory.md; evidence/snippets/q66-claimrev-reuse-matrix.csv; q66-claimrev-reuse-matrix.csv,
Q67,K-Misc,Full audit of SQL interpolation sinks and echo-vs-text ratio,TRUE,partially_answered,MEDIUM,"Census complete, triage NOT complete. Data-access surface: 6,785 sites (see Q11). Output escaping is genuinely strong: 13,590 uses of the project's escaping helpers (echo xlt( 9,476 + echo attr( 2,060 + echo text( 2,054) vs 369 raw htmlspecialchars, 32 Twig |raw, and ZERO Smarty nofilter. Residual XSS risk concentrates in 390 innerHTML and 18 document.write JavaScript sinks, which PHP-side helpers do not protect.","The escaping discipline is much better than a truncated sample suggested, and the risk is now localised to a 408-site JavaScript worklist rather than the whole tree.","Run the dedicated pre-Go-Live security sprint, but retarget it: start with the 408 JS sinks and identifier-interpolation SQL, not a blanket review. Match lists in evidence/raw/ are the worklist.",evidence/raw/count-js_innerhtml.txt; evidence/raw/count-smarty_nofilter.txt; evidence/raw/remaining-counts.tsv; 15-security-compliance-code-evidence.md,
Q68,K-Misc,log.checksum chain verification cadence,TRUE,answered,CONFIRMED,"It is NOT A CHAIN. LogTablesSink.php:63 computes hash('sha3-512', implode('', array_values($logData))) - the current row's own fields only. No previous-row hash (not a chain), no secret key (plain hash(), not hash_hmac). Zero scheduled verifier exists anywhere. EventAuditLogger.php:670-671 notes log.checksum is unused since 6.0, with the operative value in log_comment_encrypt.",Anyone with UPDATE on the log tables can edit a row and recompute a valid checksum with a one-line script. Describing this as tamper-proof would be false. Verification cadence is not the gap - the CONSTRUCTION is.,"Do not schedule a verifier for a non-chain. To get real tamper-evidence all three are required: hash_hmac with a key the DB user cannot read, inclusion of the previous row's hash, and a scheduled verifier. Build as a saas_ overlay, then add the nightly job.",src/Common/Logging/Audit/LogTablesSink.php; src/Common/Logging/EventAuditLogger.php; 15-security-compliance-code-evidence.md,
Q69,K-Misc,Complete encryptStandard column inventory,TRUE,answered,CONFIRMED,"THE HEADLINE COUNT IS MISLEADING. Of 36 encryptStandard( sites, most are tests, PHPStan baselines and the crypto library's own interface. The real application write paths are only: SMART launch tokens (SMARTLaunchToken.php:132), key wrapping (CryptoGen.php:482), fax media tokens and vendor credentials (oe-module-faxsms), and the phone gateway password (reminders.php:399). NO CORE CLINICAL PHI COLUMN IS ENCRYPTED VIA THIS API - patient_data, form_encounter, billing and documents metadata are plaintext columns. What protects PHI at rest is drive_encryption (default ON, for files) and database_encryption (default ON, for the keys/audit-comment paths).",Any claim that 'OpenEMR encrypts PHI columns' is FALSE. Encryption-at-rest for clinical PHI depends on document encryption plus deployment-supplied volume/DB encryption. This materially changes the PDPL posture narrative and must not be misstated to auditors.,"State the posture accurately: file-level plus storage-level encryption, NOT column-level. Pin both globals on. If column-level PHI encryption is required by legal, treat it as a new build, not a configuration change.",evidence/raw/count-encryptstandard.txt; library/globals.inc.php; src/FHIR/SMART/SMARTLaunchToken.php; 15-security-compliance-code-evidence.md,
Q70,K-Misc,Vendored-vs-composer-installed oe-module-* runtime model,TRUE,answered,CONFIRMED,"Resolved empirically on a populated vendor/ tree. The seven tracked modules are NOT in composer.lock, so composer install never touches them - git is authoritative. Only claimrev-connect is composer-managed, and .gitignore:15 excludes its directory precisely because composer owns it. There is no overlay of tracked files today: authority is cleanly partitioned, and no module exists twice.","Confirms tracked copies are authoritative and production will not diverge silently from git. BUT see Q37: the installer resolves paths by package-name last segment only, so a future package could collide onto a tracked module directory.",Treat tracked copies as authoritative. Add a CI assertion that no composer package's install path collides with a tracked module directory (mitigates the Q37 overlay risk).,.gitignore; 08-dependency-runtime-inventory.csv; vendor/composer/installed.json,
Q71,K-Misc,Which module owns DICOM viewer include chain?,TRUE,answered,CONFIRMED,"DICOM viewing is CORE document-viewer functionality, not a dedicated module. The PHP->JS include chain from the document viewer through dicom_launcher.js to DWV is traced in 13-localization-arabic-evidence.md, along with how the DWV runtime locale is selected.","Because it is core rather than a module, the Arabic DWV overlay (Q61) must be delivered as an asset overlay, not packaged inside a module.",Bundle the Q61 Arabic locale work as a core asset overlay under public/assets/dwv/locales/ar/.,13-localization-arabic-evidence.md; library/js/dwv/,
Q72,K-Misc,File-level vs line-level responsiveness coverage,TRUE,answered,CONFIRMED,"The '611 files' figure is CORRECTED and replaced by a reproducible file-level inventory: 5,460 first-party UI files scanned (fingerprint sha256(q72-file-list.txt) = eeaee99e60392dff40a968d5961e552812904bdbee842d5715f4d50f359d776f). Classification reconciles to the row count: unknown/non-UI backend 3,111; shared_template 1,098; custom_module_screen 416; legacy_iframe_included_file 288; legacy_standalone_page 287; remainder per the summary. Exclusions are documented in evidence/raw/q72-scanner-exclusions.txt.","Sizes the RTL/mobile QA matrix against measured categories instead of a single unreconciled number, and directly supports the Q33 decision to avoid shell replacement.","Use the CSV as the RTL/mobile QA worklist. Prioritise the legacy iframe population (575 files) and the 416 module screens; treat the 3,111 non-UI rows as out of scope.",18-q72-ui-responsiveness-inventory.csv; 19-q72-ui-responsiveness-summary.md; evidence/raw/q72-file-list.txt,
Q73,K-Misc,Scripted count of QueryUtils:: call sites,TRUE,answered,CONFIRMED,"QueryUtils:: = 1,653 call sites (previously uncounted). Full data-access surface: sqlStatement( 2,025, sqlQuery( 1,454, sqlFetchArray( 1,354, sqlInsert( 251, Doctrine DBAL 48 - total 6,785, plus 202 OE_SITE_DIR file-path sites. Every count has a saved match list and a SHA-256.","The shared-DB (Model B) estimate was based on 1,875 sites. The true figure is 3.6x that. This is the decisive quantitative input to Q11.","Count is delivered regardless of the Model A/B outcome, and it settles Q11 conclusively in favour of Model A.",evidence/manifests/remaining-counts-sha256.txt; evidence/raw/count-queryutils.txt; evidence/raw/remaining-counts.tsv; remaining-counts.tsv,
Q74,K-Misc,tests/Tests/Integration/ tree scope,TRUE,answered,CONFIRMED,"VESTIGIAL - the directory DOES NOT EXIST. git ls-files 'tests/Tests/Integration/**' returns 0 rows and the path is absent on disk. phpunit.integration.xml:34,37 references two nonexistent directories. Zero invocations anywhere: 0 hits in .github/workflows/, composer.json scripts, package.json, devtools, bin/ and tools/. The 11 *IntegrationTest.php files that DO exist live under tests/Tests/{Common,RestControllers,Services}/ - a naming convention, not occupants of this config, and they run under phpunit.xml's existing suites.",Nothing to extend or maintain. The config file is dead weight that misleads readers into thinking an integration tier exists.,Do not invest. Recommend deleting phpunit.integration.xml upstream; nothing consumes it. Build our own integration tier fresh if needed.,phpunit.integration.xml; 09-test-and-ci-inventory.md,
Q75,K-Misc,phpunit-isolated.xml actually run in CI?,TRUE,answered,CONFIRMED,"YES - a first-class gate. .github/workflows/isolated-tests.yml:50 runs `vendor/bin/phpunit -c phpunit-isolated.xml --coverage-clover=clover.xml --log-junit=junit.xml` on every push and PR to master and rel-*, across PHP 8.2/8.3/8.4/8.5/8.6 (the BROADEST matrix of any suite - only isolated tests cover 8.6), on ubuntu-24.04 with xdebug coverage, uploading Clover + JUnit to Codecov under isolated-php<ver> flags.","Twig compile/render tests and other isolated tests ARE enforced on PRs. It is also the only suite runnable on this audit machine (no Docker), making it the practical local gate for fork development.",Treat the isolated suite as the primary local gate for fork development and add our new tests there wherever a DB is not required.,.github/workflows/isolated-tests.yml; phpunit-isolated.xml; 09-test-and-ci-inventory.md,
