cons_id,def_id,english,arabic
3026,,Discharge Medications,
3027,121936,Discharge Right,حق الخروج
3028,121937,Discharge Right:,حق الخروج
3029,,Discharge Summary,
3030,,Discharge Summary - 2009,
3031,,Discharge Time,
3032,121938,Discharged,تخريج المريض
3033,,Disclaimer,
3034,121939,Disclosure Info,إفشاء المعلومات
3035,121940,Disclosure Type,نوع إفشاء المعلومات
3036,121941,Disclosure Types,أنواع إفشاء المعلومات
3037,121942,Disclosures,الإفصاحات
3038,,"Disclosures (write,addonly optional)",
3039,,"Disclosures (write,addonly optional) (disclosure)",
3040,,"Disclosures - Record disclosures made for treatment, payment, and health care operations with date, time, patient identification (name or number), user identification (name or number), and a description of the disclosure",
3041,,Discontinue,
3042,121943,Discount,الحسم
3043,121944,Discount Amount,مقدار الحسم
3044,121945,Discount Level,مستوى الحسم
3045,121946,Discount Percentage,نسبة الحسم
3046,,Discount/Adjustment,
3047,121947,Discounts as Monetary Amounts,نسبة الحسم النقدي
3048,121948,"Discounts at checkout time are entered as money amounts, as opposed to percentage.",الحسم النقدي عند الخروج مقابل النسبة المئوية
3049,,Discounts at checkout time may be entered per invoice or per line item or both.,
3050,121949,Discrete Result,نتيجة سرية
3051,,Discrete Results - for manual entry of returned result values,
3052,121950,Disease,المرض
3053,,Disease with presumed immunity,
3054,,Dislay main menu logo,
3055,121951,Dislocation,الخلع
3056,,Dismiss,
3057,,Dismiss Form,
3058,,Dismiss Help,
3059,121952,Disp #,اصرف #
3060,121953,Dispatch,وزع الوثيقة المتلقية
3061,121954,Dispatch Received Document,إرسال المستند المستلم
3062,,Dispense Rx,
3063,,Dispense this Rx,
3064,,Dispense this RX,
3065,121955,Dispensed,المصروف
3066,,Display,
3067,,"Display Additional measurements (Ks, IOL cals, etc)",
3068,121956,Display advance directives in the demographics page.,إعرض المجلدت المتقدمة فى صفحة الديمجرافيا
3069,,Display Application Errors Only,
3070,,Display Documents,
3071,121957,Display event dates in block?,عرض احداث البيانات
3072,121958,Display Format for US Weights,عرض تنسيق الاوازن
3073,121959,Display how many events?,عرض كم عدد الحدث
3074,,Display Invoice Number or Patient Name in the Cash Receipt Report,
3075,,Display Invoice Number or Patient Name or Both in the Sales Report,
3076,,Display limit reached,
3077,,Display links to the acknowledgements page,
3078,121960,Display location in block?,عرض المنطقة
3079,,Display main menu logo,
3080,121961,Display Name,عرض الاسم
3081,,Display Save and Close Visit button in LBFs,
3082,,Display the Autorefraction Panel,
3083,121962,Display the calendar?,عرض التاريخ
3084,,Display the Contact Lens Panel,
3085,,Display the Donations link on the About page,
3086,,Display the Encounter Billing Note or Patient Billing Note or Both in the Billing Screen.,
3087,,Display the Manifest Refraction panel,
3088,,Display the patient's current glasses,
3089,,Display the recurrent appointment widget in the patient summary.,
3090,,Display the Review link on the About page,
3091,,Display the Units Column on the Billing Screen,
3092,121963,Display today's events in the block?,عرض احداث اليوم
3093,121964,Display topic in block?,عرض العناوين
3094,121965,Display upcoming events in block?,عرض الاحداث القادمة
3095,,Display Window Errors Only,
3096,121966,Displayed Columns,الأعمدة المعروضة
3097,121967,Displaying the following number of most recent disclosures:,يتم عرض العدد التالي من إفشائات السرية اﻷحدث
3098,,Displaying the following number of most recent messages,
3099,121968,Displaying the following number of most recent notes,يتم عرض العدد التالي من الملاحظات اﻷحدث
3100,121969,Displaying the following number of most recent notes:,يتم عرض العدد التالي من الملاحظات اﻷحدث
3101,,Distance,
3102,,Distance from the 'top' of the envelope in mm,
3103,,Distance from the right most edge of the envelope in portrait position in mm,
3104,,Distribute,
3105,,Distributed Edits,
3106,,Distributed to Global,
3107,121970,Distribution,التوزع
3108,121971,Distributions,التوزيعات
3109,121972,Distributor,موزع
3110,,Dist{{distance}},
3111,,Divehi- Dhivehi- Maldivian-,
3112,,Divergence,
3113,,Divergence Amps,
3114,121973,Diverticulitis,التهاب الرتوج
3115,121974,Diverticulitis Surgery,جراحة الرتوج
3116,121975,Divirticulitis,التهاب الرتوج
3117,121976,Divirticulitis Surgery,جراحة الرتوج
3118,121977,Divorced,مطلق
3119,121978,Dizziness:,الدوخة:
3120,,Do not allow insurance eligibility report log download,
3121,,Do not allow SQL queries to be outputted to screen.,
3122,121979,Do not change,لا تغير
3123,,Do not display Allergies uploaded after visiting NewCrop eRx.,
3124,121980,Do not display Allergy uploaded to NewCrop,لاتعرض الحساسية المرفعة ال NewCrop
3125,,Do not display Medications uploaded after visiting NewCrop eRx.,
3126,121981,Do not display Medications uploaded to NewCrop,لاتعرض الأدوية المرفعة ال NewCrop
3127,,Do not display NewCrop eRx Allergy uploaded,
3128,,Do not display NewCrop eRx Medications uploaded,
3129,121982,Do not display the calendar.,لاتعرض التاريخ
3130,,Do not display the patient flow board.,
3131,,Do not display the Recall Board.,
3132,,"Do not enter the server URL into your browser address bar, as this will not work",
3133,121983,Do not inventory and sell any products,لا جرد وبيع أي منتجات
3134,,Do not know what to do!,
3135,,Do Not Print,
3136,121984,Do not require patient notes to be authorized,لا تستلزم مﻻحظات المريض للإعتماد
3137,121985,Do Not Resuscitate Order,توصية آمرة: لاتقم بالإنعاش
3138,121986,do not save,لا تحفظ
3139,121987,do not substitute,لا تستبدل الأدوية - اصرف الدواء حسب ما هو مكتوب حرفيا
3140,,Do Not Use Safe Apostrophe,
3141,,Do not warn or prevent web browser refresh,
3142,121988,do nothing,لا تفعل أي شيئ
3143,,Do Nothing,
3144,,Do you really want to change Warehouse?,
3145,,Do you really want to clear the log?,
3146,,Do You Really Want to Continue,
3147,121989,Do you really want to delete,هل تريد الحذف؟
3148,121990,Do you really want to delete the selection?,هل تريد الحذف؟
3149,121991,Do you really want to delete this group,هل تريد حذف هذه المجموعة؟
3150,,Do you really want to delete?,
3151,,Do you really want to submit with no criteria selected?,
3152,,Do you want to close the tabs?,
3153,121992,Do you want to continue?,هل تريد أن تستمر؟
3154,121993,Do you want to delete this?,هل تريد أن تحذف هذا؟
3155,121994,Do you want to delete?,هل تريد أن تحذف؟
3156,121995,Do you want to remove this record?,هل تريد أن تزيل هذا السجل؟
3157,121996,Do you wish to continue adding this new patient?,هل تريد الاستمرار في إضافة هذا المريض الجديد؟
3158,121997,Do you wish to continue with the new name?,هل تريد الاستمرار في الاسم الجديد؟
3159,121998,Do you wish to PERMANENTLY delete this immunization record?,هل تريد الحذف النهائي لهذا السجل الخاص باللقاحات؟
3160,121999,DOB,تاريخ الولادة
3161,,Dob,
3162,122000,"DOB is missing, please enter if possible",تاريخ الولادة مفقود، الرجاء إدخاله
3163,,Doc Id,
3164,122001,Docs,المستندات
3165,122002,Doctor,الطبيب
3166,122003,Doctor:,الطبيب الدكتور
3167,122004,Doctor's name and signature,اسم وتوقيع الطبيب
3168,122005,Document,المستند
3169,122006,document,المستند
3170,,document 3 and their status to reach the detailed HPI level,
3171,122007,Document Categories,مجموعات المستندات
3172,,Document category for lab results does not exist,
3173,,Document category name for storage of electronically received lab results.,
3174,,Document category name for storage of electronically received MDM documents.,
3175,,Document Category or Discard,
3176,,Document Center,
3177,,Document clinical findings in Shorthand Format,
3178,122008,Document could not be moved to patient id,لم يتم نقل المستند إلى ملف المريض
3179,,Document created,
3180,122009,Document Date,تاريخ المستند
3181,122010,Document date and issue updated successfully,تم تحديث التاريخ و المشكلة
3182,122011,Document ID,رقم المستند
3183,,Document identifying information,
3184,,Document Library,
3185,122012,Document moved to new category,تم نقل المستند إلى مجموعة جديدة
3186,122013,Document moved to patient id,تم نقل المستند إلى ملف المريض
3187,,Document passed integrity check,
3188,122014,Document passed integrity check.,المستند سليم
3189,122015,Document Storage Method,طرق تخزين الوثائق
3190,122016,Document successfully renamed.,إعادة التسمية ناجحة
3191,,Document tagged to Encounter successfully,
3192,,Document Template Management,
3193,,Document Templates,
3194,,Document Uploader/Viewer,
3195,,Document(s),
3196,122017,Document/Imaging Store,مستودع المستندات/الصور
3197,,Documentation for a Detailed HPI requires,
3198,122018,Documents,المستدات (كتابة) اختيارية
3199,,documents,
3200,122019,"Documents (write,addonly optional)","وثائق (كتابة , )"
3201,,"Documents (write,addonly optional) (docs)",
3202,,Documents - a repository of the patient's scanned/faxed paper documents. It also the place to download patient specific templates,
3203,,Documents Delete,
3204,,Documents Delete (docs_rm),
3205,,Documents History,
3206,,Documents List,
3207,,Documents setup error,
3208,,DOC{{document format}},
3209,122020,DOE,ضيق النفس الجهدي
3210,,Does anything make it better? Worse?,
3211,,Does it occur in certain situations?,
3212,,Does not equal,
3213,,does not have enough data to graph,
3214,122021,does not match the PV1 encounter number,لا يطابق رقم الزيارة PV1
3215,122022,does not seem valid,لا تبدو صالحة
3216,122023,Does this type allow related codes?,هل هذا النوع يسمح بالرموز المقاربة؟
3217,122024,Domestic Partner,شريك في العيش
3218,122025,Don't Save,لا تحفظ
3219,122026,Don't Save,لا تحفظ
3220,122027,Don't Save Changes,لا تحفظ التغييرات
3221,,DONATE NOW!,
3222,,Donation ID,
3223,122028,Done,تم
3224,,Done with,
3225,122029,Done with:,تم بواسطة
3226,122030,Done.  Will now send download.,تم، سيتم الإرسال
3227,122031,DOS,تاريخ بداية الخدمة
3228,122032,Dosage,الجرعات
3229,,Dose,
3230,,Double click on a DX's handle,
3231,,Double Click on this icon to pop up document in a new viewer.,
3232,122033,double click to edit,انقر لمرتين لبدء التحرير
3233,,Double Clicking a NPI box will bring up a current Users dialog for providers.,
3234,122034,Double Vision,رؤية مزدوجة
3235,122035,Download,تنزيل
3236,,DOWNLOAD,
3237,,Download - the created CCD is downloaded as a pdf file to the downloads from the browser,
3238,,Download - the created CCR is downloaded as a pdf file to the downloads from the browser,
3239,,Download all patient documents,
3240,,Download and/or delete log data,
3241,122036,Download Anyway,قم بالتنزيل
3242,122037,"Download billing file, post to accounting and mark as billed","يت تنزيل ملف الفوترة, ضع فى الحسابات و علّم كمفوتر"
3243,,Download CCD,
3244,,Download CCDA file,
3245,122038,Download Certificates,تنزيل الترخيص
3246,,Download Charted Documents,
3247,122039,Download configuration data,تنزيل بيانات التكوين
3248,,Download CSV,
3249,,Download CSV File,
3250,,Download document template for this patient and visit,
3251,,Download Documents,
3252,122040,download encrypted file,تنزيل ملف مشفر
3253,,Download Fax,
3254,,Download HL7 file,
3255,,Download Lab Documents,
3256,,Download Log Entries as Zipped CSV,
3257,,Download Offsite Portal Connection Files,
3258,,Download or Delete a Template,
3259,,Download or Delete Old Log Entries,
3260,122041,Download PDF,تنزيل ملف
3261,,Download QRDA Category III File,
3262,,Download report as a pdf file into the browser's download folder,
3263,,Download Selected,
3264,122042,Download Selected Statements,تنزيل المختارات
3265,,Download will download a text file containing the order in the HL7v2.3 message format to the downloads directory of your computer,
3266,,Downloading Document!,
3267,122043,Dr Check,شوهد من قبل الطبيب
3268,122044,Dr Visit,زيارة الطبيب
3269,122045,Dr.,الطبيب
3270,,Drafts,
3271,,Drag a DX over by its handle,
3272,,Drag the arrow for each diagnosis to sort the list.,
3273,122046,Drag to move,اسحب للتحريك
3274,,Draw,
3275,122047,Dribbling,تنقيط البول
3276,122048,Drivers License or State ID,إجازة قيادة السيارة/الهوية الوطنية
3277,,Drop files here to upload,
3278,122049,Drug,الدواء
3279,,Drug - Drug Interaction,
3280,122050,Drug Code,شفره الدواء
3281,122051,Drug Finder,إيجاد الدواء
3282,122052,Drug Forms,الأشكال الصيدلانية للدواء
3283,122053,Drug ID missing!,رقم الدواء مفقود
3284,122054,Drug Intervals,تواتر الدواء
3285,122055,Drug Inventory,مستودع الأدوية
3286,,Drug name,
3287,122056,Drug Name,اسم الدواء
3288,,Drug name is required,
3289,122057,Drug Routes,طريقة أخذ الدواء
3290,,Drug Screen,
3291,,Drug Screen Completed,
3292,,Drug Screen Report,
3293,,Drug units,
3294,122058,Drug Units,عيار الدوء
3295,,Drug Use,
3296,,Drug-Drug,
3297,,Drug-Drug Interaction,
3298,,Drug1 Name{{Drug1 Interaction}},
3299,,Drug2 Name{{Drug2 Interaction}},
3300,122059,Drugs,الأدوية
3301,122060,Drugs and Products,الأدوية والمنتجات الطبية
3302,122061,Dry Mouth,الفم الجاف
3303,122062,DSMIV Diagnosis,"التشخيص حسب "" الدليل التشخيصي و الإحصائي-النسخة الرابعة"""
3304,122063,DT 1,الجرعة الأولى للقاح الديفتريا و الكزاز
3305,122064,DT 2,الجرعة الثانية للقاح الديفتريا و الكزاز
3306,122065,DT 3,الجرعة الثالثة للقاح الديفتريا و الكزاز
3307,122066,DT 4,الجرعة الرابعة للقاح الديفتريا و الكزاز
3308,122067,DT 5,الجرعة الخامسة للقاح الديفتريا و الكزاز
3309,122068,DTaP 1,الجرعة الأولى للقاح الديفتريا و الكزاز و السعال الديكي
3310,122069,DTaP 2,الجرعة الثانية للقاح الديفتريا و الكزاز و السعال الديكي
3311,122070,DTaP 3,الجرعة الثالثة للقاح الديفتريا و الكزاز و السعال الديكي
3312,122071,DTaP 4,الجرعة الرابعة للقاح الديفتريا و الكزاز و السعال الديكي
3313,122072,DTaP 5,الجرعة الخامسة للقاح الديفتريا و الكزاز و السعال الديكي
3314,,Dual,
3315,122073,Due,المستحق
3316,122074,Due Date,التاريخ المستحق
3317,,Due date,
3318,122075,Due date mm/dd/yyyy or yyyy-mm-dd,التاريخ المستحق ش ش/ي ي/س س س س أو س س س س-ش ش-- ي ي
3319,122076,Due Date:,التاريخ المستحق:
3320,122077,Due Ins,مدخولات مستحقة
3321,122078,Due Pt,مريض مستحق
3322,122079,Due Soon,يستحق قريباَ
3323,122080,Due Status,حالة الإستحقاق
3324,122081,Due Status Update,تحديث حالة الإستحقاق
3325,122082,Dumping OpenEMR database,تفريغ قاعدة بيانات البرنامج
3326,122083,Dumping OpenEMR web directory tree,تفريغ شجرة مجلد الأنترنت للبرنامج
3327,122084,Dumping phpGACL database,تفريغ قاعدة بيانات phpGACL
3328,122085,Dumping phpGACL web directory tree,تفريغ شجرة مجلد الأنترنت لphpGACL
3329,122086,Dumping SQL-Ledger database,تفريغ قاعدة بيانات SQL-Ledger
3330,122087,Dumping SQL-Ledger web directory tree,تفريغ شجرة مجلد الأنترنت لSQL-Ledger
3331,122088,Dup Check,التأكّد من التفريغ
3332,,Dup Check on only Edit,
3333,,"Dup Check on only Edit, or Extra billing codes OK",
3334,,Dup Check on only New,
3335,,"Duplicate codes are deleted from editor list otherwise, code will append to list.",
3336,,Duplicate Patient Management,
3337,,"Duplicate Rx -- unchanged from current Rx{{The refraction did not change, New Rx=old Rx}}",
3338,122089,Duplicated ID on line,الهوية مكررة في هذا السطر
3339,122090,Duplicated name on line,الإسم مكرر في هذا السطر
3340,122091,DUPLICATION WARNING,تحذير التكرار
3341,122092,Durable Power of Attorney,السلطة الممتدة للمحامي
3342,122093,Duration,المدة
3343,122094,duration,المدة
3344,,"During the work-day, syncs occurs every",
3345,122095,Dutch,هولندي
3346,,Dx Codes,
3347,122096,Dx Rep,مندوب مبيعات اﻷدوية
3348,122097,Dysphagia,صعوبة البلع
3349,122098,Dyspnea:,ضيق النفس
3350,122099,Dysuria,عسرة التبول
3351,,Dzongkha,
3352,,E(T){{intermittent esotropia}},
3353,,E-Mail,
3354,,E-mail,
3355,,E-Mail Address,
3356,,E-mail Messaging,
3357,,E-mail OK,
3358,,E-PRESCRIBING,
3359,122100,E-Prescription?,صرف الوصفة الإلكتروني
3360,122101,E-Reports,التقارير الإلكترونية
3361,122102,e-Rx,صرف الوصفة الإلكتروني
3362,,e-Rx EPCS,
3363,122103,e-Rx Renewal,تجديد صرف الوصفة الإلكتروني
3364,,e-signed,
3365,,Each of these groups (AROs) has access to pre-determined parts of the program (ACOs).,
3366,,Each provider needs to set this under user settings. This should be blank,
3367,122104,Each recipient must set their own messages as completed.,كل مستفيد يجب ان يعّلم رسالته الخاصة به كمكتمله
3368,,Each Section has one Narrative Block and zero to many coded Entries,
3369,,Each segment is identified by a unique three letter header that constitutes the first three letters on that line,
3370,,Each test in order gets a label.,
3371,,Each test or panel in this group has to be in an individual Custom Favorite Item tier,
3372,,Each Transaction is listed on a separate line,
3373,122105,Early Recurrence (<2 Mo),النكس الباكر (في أقل من شهرين
3374,122106,Ears,الأذن
3375,,Easipro Server,
3376,,Easipro Server Password,
3377,,Easipro Server Username,
3378,,Easy to forget on the computer used to login,
3379,,Easy to setup,
3380,,Easy to use,
3381,122107,ECG,تخطيط كهربائية القلب
3382,122108,eClaims,المطالبات الإلكترونية
3383,,ECL{{equivalent contact lens power at the corneal level}},
3384,,ECOM{{external comments abbreviation}},
3385,122109,Edema,الوذمة
3386,,EDI File,
3387,122110,EDI History,تاريخ تبادل المعلومات الإلكتروني
3388,122111,edi history,تاريخ تبادل المعلومات الإلكتروني
3389,122112,EDI History (under Fees) for storing and interpreting EDI claim response files,تاريخ تبادل المعلومات الإلكتروني (لقاء رسوم) لتخزين و تفسير ملفات التأمين
3390,122113,EDI-271 File Upload,تحميل ملف EDI-271
3391,122114,EDI-271 Response File Upload,تحميل ملف تفاعل EDI-271
3392,122115,Edit,التحرير
3393,122116,edit,التحرير
3394,122117,Edit Allergies,تحرير الحساسية
3395,,Edit Appointment,
3396,122118,Edit Categories,تحرير المجموعات
3397,,Edit Current Patient,
3398,122119,Edit Definitions,تحرير التعاريف
3399,122120,Edit definitions,تحرير التعاريف
3400,122121,Edit Diagnoses for,تحرير التشخيص ل
3401,122122,Edit Disclosure,تحرير إفشاء المعلومات
3402,,Edit Document,
3403,,Edit Entry,
3404,,Edit Event,
3405,,EDIT EXISTING GROUP,
3406,122123,Edit Facilities,تحرير المراكز الطبية
3407,122124,Edit Facility,تحرير المركز الطبي
3408,122125,Edit Facility Information,تحرير معلومات المركز الطبي
3409,122126,Edit Facility Specific User Information,تحرير معلومات المستخدم الخاص فى المنشأة
3410,122127,Edit File in,تحرير الملف في
3411,122128,Edit form,تحرير الاستمارة
3412,122129,Edit Global Settings,تحرير الإعدادات الأساسية
3413,,Edit History and Lifestyle,
3414,122130,Edit is not authorized!, تحرير المحتوى غير مسموح  
3415,,Edit Issue,
3416,122131,Edit layout,تحرير طريقة العرض
3417,,Edit Layout Properties,
3418,122132,Edit list,تحرير القائمة
3419,,Edit Mode,
3420,,Edit Only,
3421,,Edit Onsite Portal Activity,
3422,122133,Edit Payment,تحرير عملية الدفع
3423,,Edit Signature,
3424,122134,Edit Structure,تحرير التركيب
3425,,Edit Template,
3426,,Edit this form,
3427,122135,Edit User,تحرير مستخدم
3428,122136,Edit User Settings,تحرير إعدادات المستخدم
3429,,Edit your entered data,
3430,,Editing,
3431,,Editing failed,
3432,122137,Education,التعليم/ التوعية
3433,122138,Education Date,تاريخ التعليم
3434,,Educational materials for,
3435,122139,"ee the  * GNU General Public License for more details.  *   * You should have received a copy of the GNU General Public License  * along with this program; if not, write to the Free ","ee the * GNU General Public License for more details. * * You should have received a copy of the GNU General Public License * along with this program; if not, write to the Free"
3436,122140,Effective Date,التاريخ المؤكد
3437,,Effective Dates,
3438,122141,Effectiveness,الفعالية
3439,,"eg. aching, burning, radiating pain",
3440,122142,EIN,رقم هوية الموظف
3441,,Either type a search term in appropriate box or double click box to see available codes.,
3442,,Either way data entered by any method will feature in both locations,
3443,122143,Ejaculations,الدفقات
3444,122144,Elbow,المرفق
3445,122145,Elbow Problems,مشاكل المرفق
3446,122146,Electronic,إلكتروني
3447,,Electronic document received,
3448,,Electronic Notes,
3449,,Electronic orders,
3450,122147,Electronic Remits,إحالة إلكترونية
3451,122148,Electronic Reports,تقرير إلكتروني
3452,,Electronic results can be bidirectional - both order tests and receive results electronically or unidirectional - only receive the results electronically,
3453,,electronically signed on,
3454,122149,Eligibility,أهليّة
3455,122150,Eligibility 270 Inquiry Batch,270 Inquiry Batch أهليّة
3456,122151,Eligibility Response,رّد الأهليّة
3457,,Eligibility Service Date (270 DTP03),
3458,122152,Eligibility status for Vaccine for Children supplied vaccine,حالة الأهلية للحصول على لقاح الأطفال المتوفر
3459,122153,Eligible,مسموح له
3460,,Ellipse,
3461,122154,Email,البريد الإلكتروني / إيميل
3462,,email,
3463,,EMAIL,
3464,122155,Email Address,البريد الإلكتروني / إيميل
3465,,Email address is missing,
3466,122156,Email address of the sender for patient reminders. Replies to patient reminders will be directed to this address. It is important to use an address from your clinic's domain to avoid help prevent patient reminders from going to junk mail folders.,إيميل المرسل لتذكيرات المرضي و الذي سيتلقى الردود أيضا. من المهم ان يكون الإيميل نابعا من موقع المنشأة لتفدي ذهاب التذكيرات لملف المهملات فى ايميل المتلقي
3467,122157,"Email address, if any, to receive administrative notifications.",البريد الإلكتروني / إيميل لإستلام تنبيهات الإدارة
3468,122158,"Email address, if any, to receive emergency login user activation messages.",البريد الإلكتروني / إيميل لإستلام رسائل تفعيل ولوج المستخدمين الطارئة
3469,122159,Email Auth,سلطة الإيميل
3470,,EMAIL Confimed,
3471,,Email Direct,
3472,122160,Email from Batchcom,إيميل Batchcom
3473,,Email if required,
3474,122161,Email Notification,اخطار بالبريد الالكتروني
3475,122162,Email Notification Hours,البريد الإلكتروني الإخطار ساعات
3476,122163,Email Notification Report,تقرير بااخطار البريد الالكتروني
3477,,Email Notification Settings Updated Successfully,
3478,,Email Selected,
3479,,Email Selected Statements,
3480,122164,Email send before,البريد الإلكتروني المرسلة من قبل
3481,122165,Email Sender,مُرسل البريد
3482,122166,Email Sent,تم الإرسال
3483,122167,Email sent to,تم إرسال البريد الى
3484,122168,Email Subject,عنوان البريد
3485,,email subject,
3486,,Email Text Usable Tags,
3487,122169,"Email Text, Usable Tag: ***NAME*** , i.e. Dear ***NAME***","Email Text, Usable Tag: ***NAME*** , i.e. Dear ***NAME***"
3488,122170,"Email Text, Usable Tag: ***NAME*** , i.e. Dear ***NAME***{{Do Not translate the ***NAME*** elements of this constant.}}","Email Text, Usable Tag: ***NAME*** , i.e. Dear ***NAME***{{Do Not translate the ***NAME*** elements of this constant.}}"
3489,122171,Email Transport Method,طريقة نقل الإيميل
3490,122172,Email was sent to following address,تم إرسال البريد إلى العنوان التالي
3491,,emails not sent,
3492,,"Embed {login} where the OpenEMR login name of the user is to be; for example: uid={login},dc=example,dc=com",
3493,,Emergency Care,
3494,,Emergency contact,
3495,122173,Emergency Contact,الشخص القريب عند الحالات الطارئة
3496,122174,Emergency Contact Person,اسم الشخص في الحالات الطارئة
3497,122175,Emergency Contact Phone Number,رقم الهاتف في الحالات الطارئة
3498,122176,Emergency Contraception,منع الحمل السريع
3499,122177,Emergency Login,الدخول الطارئ في النظام
3500,122178,"Emergency Login ACL is chosen. The user is still in active state, please de-activate the user and activate the same when required during emergency situations. Visit Administration->Users for activation or de-activation.","Emergency Login ACL is chosen. The user is still in active state, please de-activate the user and activate the same when required during emergency situations. Visit Administration->Users for activation or de-activation."
3501,122179,Emergency Login activation email will be circulated only if following settings in the interface/globals.php file are configured:,Emergency Login activation email will be circulated only if following settings in the interface/globals.php file are configured:
3502,122180,Emergency Login Email Address,البريد في الحالات الطارئة
3503,122181,Emergency Login user can do anything,الدخول الطارئ كامل الصلاحية
3504,122182,Emergency Phone,الهاتف في حالة طارئة
3505,,Emergency Room - Hospital,
3506,122183,Emotional / Behavioral Conditions & Complications,عاطفي/حالات و مضاعفات سلوكية
3507,122184,Emphysema,النفاخ الرئوي
3508,122185,Employee,الموظف
3509,122186,Employer,رب العمل
3510,122187,Employer Address,عنوان العمل
3511,122188,Employer Data,معلومات العمل
3512,122189,Employer Name,اسم صاحب العمل
3513,122190,EMPTY,فارغ
3514,122191,Empty,فارغ
3515,,Empty Definition,
3516,,Empty Definitions,
3517,,empty file received,
3518,122192,Empty Password Not Allowed,حقل الرقم السري لايمكن ان يكون فارغ
3519,,Empty table,
3520,122193,"Empty value in ""Email Hours""","""فارغة"" ساعات البريد"
3521,122194,"Empty value in ""Email Sender""","""فارغة"" المرسل"
3522,122195,"Empty value in ""Email Subject""","""فارغة "" الموضوع"
3523,122196,"Empty value in ""Email Text""","""فارغة"" النص"
3524,122197,"Empty value in ""Name of Provider""","""فارغة"" اسم المؤسسة"
3525,122198,"Empty value in ""Password""","""فارغة"" الرقم السري"
3526,122199,"Empty value in ""SMS Hours""","قيمة فارغة في ""ساعات SMS"""
3527,122200,"Empty value in ""SMS Text""","قيمة فارغة في ""نص SMS"""
3528,122201,"Empty value in ""Username""","قيمة فارغة في ""اسم المستخدم"""
3529,,EMR Direct,
3530,,"EMR Direct phiMail is a secure, scalable, standards-based way for participants to send authenticated, encrypted health information directly to known, trusted recipients over the Internet",
3531,122202,Enable,شغل
3532,,Enable a Payment Gateway Service for processing credit card transactions,
3533,122203,Enable Alert Log,شغل وضع تنبيه البيانات
3534,,Enable Alert Logging,
3535,,Enable Allergy Check,
3536,,Enable Allergy Check Against Medications and Prescriptions,
3537,122204,Enable AMC Prompting,فعّل تحفيز AMC
3538,,Enable AMC Report Itemization,
3539,122205,Enable AMC Reporting,فعّل تقرير AMC
3540,122206,Enable AMC Tracking,فعّل تتبع AMC
3541,,Enable amendments feature,
3542,122207,Enable ATNA Auditing,فعّل تدقيق ATNA
3543,,Enable Audit Log Encryption,
3544,122208,Enable Audit Logging,فعّل ولوج التدقيق
3545,122209,Enable Audit Trail and Node Authentication (ATNA).,فعّل تتبع التدقيق و صلاحية العقدة (ATNA)
3546,,Enable Authentication Using Google Sign-in,
3547,122210,Enable Automated Measure Calculations (AMC) Reporting,فعّل تقرير قياس الحسابات الألي (AMC)
3548,,Enable Batch Payment,
3549,,Enable C-CDA Alternate Service,
3550,,Enable C-CDA Service,
3551,,Enable Client,
3552,122211,Enable Client SSL,فعّل عميل SLL
3553,122212,Enable client SSL certificate authentication.,فعّل توثيق شهادة عميل SLL
3554,,Enable Clinical Active Reminder Popup,
3555,122213,Enable Clinical Decisions Rules (CDR),فعّل قواعد القرارات الإكلينكية
3556,,Enable Clinical Passive New Reminder(s) Popup,
3557,,Enable Clinical Passive Reminder Widget,
3558,122214,Enable Clinical Quality Measure (CQM) Reporting,فعّل تقرير مقياس النوعية الإكلينكية
3559,122215,Enable Clinical Reminder Popup,فعّل نافذة منبثقة للتذكير الإكلينكي
3560,122216,Enable Clinical Reminder Widget,فعّل اداة للتذكير الإكلينكي
3561,,Enable CMS Portal,
3562,,Enable Compact Mode,
3563,,Enable CQM Report Itemization,
3564,122217,Enable CQM Reporting,فعّل تقرير CQM
3565,,Enable Database Connection Pooling,
3566,,Enable Easipro,
3567,,"Enable Easipro. For licensing options for this feature, please contact",
3568,,Enable EDI History,
3569,122218,Enable EDI History In Left Menu,فعّل تاريخ EDI في القائمة اليسري
3570,,Enable Encryption of Items Stored on CouchDB,
3571,,Enable Encryption of Items Stored on Drive,
3572,,Enable Extension,
3573,,Enable Facility,
3574,,Enable Facility/Warehouse Permissions,
3575,,Enable facility/warehouse restrictions in the user administration form.,
3576,122219,Enable Fees In Left Menu,فعّل المصاريف في القائمة اليسري
3577,,Enable Fees Submenu,
3578,,Enable FHIR Provider Client Service,
3579,,Enable follow-up encounters,
3580,,Enable follow-up encounters feature,
3581,,Enable Google Sign-In,
3582,,Enable Group Therapy,
3583,,Enable Help Modal,
3584,122220,Enable Hylafax Support,فعّل دعم Hylafax
3585,,Enable import status message after visiting NewCrop eRx.,
3586,122221,Enable import status message for NewCrop erx,فعّل حالة الإستيراد NewCrop erx
3587,,Enable Itemization of AMC Reports,
3588,,Enable Itemization of CQM Reports,
3589,,Enable Itemization of Standard Clinical Rules Reports,
3590,122222,Enable Lab Exchange,فعّل تبادل المعمل
3591,,Enable lock toggle,
3592,122223,Enable log for document uploads/downloads to CouchDB,فعّل السجل لترفيع او تنزيل الوثائق الي
3593,122224,Enable logging of all SQL SELECT queries.,فعّل الولوج لكل استفهامات SQL SELECT
3594,122225,Enable logging of backup related activities.,فعّل الولوج للنشاطات المتعلقة بالنسخ الإحتياطي
